Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Cambodia,KHM,..,49,..,..,..,..,..,..,21.9,..,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Indonesia,IDN,..,42.3,..,..,..,30,26.6,..,24.4,21.6,22,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Lao PDR,LAO,..,47.5,35.5,..,33.1,..,..,..,..,..,32.8,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Malaysia,MYS,..,..,17.8,20.8,..,..,25.5,..,..,21.2,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Myanmar,MMR,..,40.8,..,29.4,..,26.7,..,..,..,..,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Philippines,PHL,43.3,..,33.1,..,..,29.9,28.7,..,26.7,..,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Viet Nam,VNM,..,42.9,24.6,24.3,23.8,23.2,22.4,19.5,..,18.9,18.2,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Timor-Leste,TLS,..,..,..,..,..,..,..,46.7,..,..,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Thailand,THA,..,..,..,10.5,..,..,13.4,..,..,12.4,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,
