Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cambodia,KHM,..,..,7.5,7,6.2,5.1,4.6,4.9,5,4.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Indonesia,IDN,..,..,7.3,6.7,6,5.9,6.2,6.3,6.8,7.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lao PDR,LAO,..,..,8,7.1,6.8,6.5,6.5,6.3,5.9,5.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Malaysia,MYS,..,..,3.5,3,2.7,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Myanmar,MMR,..,..,4.9,4.2,3.8,3.6,3.4,4,4.6,5.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Philippines,PHL,..,..,10,8.6,7.1,6,5.6,5.8,6,5.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Timor-Leste,TLS,..,..,12.2,12.4,13.2,13.4,14.5,15.4,16,15.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Thailand,THA,..,..,7.4,7.3,7.3,7,6.4,6.1,5.8,5.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Viet Nam,VNM,..,..,7.8,7.5,7,6.6,6,5.5,5.2,5.2,..,..
